property_id,owner_name,address,property_value
PROP0001,محمد احمد,House 45 DHA Lahore,29224853
PROP0002,Aly Khan,Street 10 G11 Islamabad,16814911
PROP0004,Muhammad Ahmd,House 12 Street 10 G11 Islamabad,11590106
PROP0005,Ahmed Raza,Phase 8 Bahria RWP,27147697
PROP0006,Aly Khan,Street 10 G11 Islamabad,7136690
PROP0008,Aly Khan,House 12 Street 10 G11 Islamabad,29574969
PROP0009,علی خان,Street 10 G11 Islamabad,14613179
PROP0010,Ahmed Raza,House 12 Street 10 G11 Islamabad,20294386
PROP0012,Ahmad Raza,H#45 DHA Lhr,7638861
PROP0013,علی خان,H#12 St10 G11 Isb,28935409
PROP0015,احمد رضا,H#45 DHA Lhr,25980509
PROP0018,Muhammad Ahmd,H#12 St10 G11 Isb,9092712
PROP0021,احمد رضا,Street 10 G11 Islamabad,26142204
PROP0023,Ahmed Raza,H#45 DHA Lhr,15581937
PROP0024,Ahmed Raza,Street 10 G11 Islamabad,24739780
PROP0025,Ahmad Raza,Street 10 G11 Islamabad,21114435
PROP0029,Ali Khan,Street 10 G11 Islamabad,6603932
PROP0031,M Ahmed,H#12 St10 G11 Isb,21837001
PROP0033,Muhammad Ahmed,Phase 8 Bahria RWP,17897379
PROP0038,احمد رضا,H#45 DHA Lhr,21869542
PROP0040,Ali Khan,House 12 Street 10 G11 Islamabad,26707916
PROP0041,احمد رضا,House 12 Street 10 G11 Islamabad,28094933
PROP0042,محمد احمد,H#45 DHA Lhr,22595550
PROP0046,Ali Khan,H#12 St10 G11 Isb,20273435
PROP0047,Ahmad Raza,House 45 DHA Lahore,20035030
PROP0048,Aly Khan,House 12 Street 10 G11 Islamabad,17253901
PROP0049,Ali Khan,Phase 8 Bahria RWP,25127959
PROP0051,علی خان,H#12 St10 G11 Isb,5379199
PROP0053,Ahmad Raza,Phase 8 Bahria RWP,9556794
PROP0055,M Ahmed,House 12 Street 10 G11 Islamabad,28604865
PROP0056,علی خان,Phase 8 Bahria RWP,29467492
PROP0060,Aly Khan,Phase 8 Bahria RWP,24086981
PROP0061,علی خان,H#45 DHA Lhr,17058810
PROP0064,Muhammad Ahmd,Street 10 G11 Islamabad,21228948
PROP0065,Muhammad Ahmed,House 45 DHA Lahore,21660931
PROP0066,Muhammad Ahmd,H#12 St10 G11 Isb,11489262
PROP0067,علی خان,Bahria Phase 8 Rawalpindi,28592368
PROP0070,علی خان,House 12 Street 10 G11 Islamabad,29856485
PROP0071,احمد رضا,Bahria Phase 8 Rawalpindi,25192700
PROP0072,محمد احمد,Phase 8 Bahria RWP,10205382
PROP0074,Aly Khan,H#45 DHA Lhr,29152691
PROP0075,علی خان,House 12 Street 10 G11 Islamabad,25512061
PROP0077,Ahmad Raza,H#45 DHA Lhr,25338462
PROP0078,علی خان,House 45 DHA Lahore,9726046
PROP0080,Muhammad Ahmd,Street 10 G11 Islamabad,22431034
PROP0082,M Ahmed,House 12 Street 10 G11 Islamabad,19101255
PROP0083,محمد احمد,H#12 St10 G11 Isb,23142784
PROP0084,Ahmed Raza,H#12 St10 G11 Isb,21528220
PROP0087,Muhammad Ahmed,Street 10 G11 Islamabad,18989545
PROP0089,Muhammad Ahmd,House 45 DHA Lahore,14316399
PROP0090,Muhammad Ahmd,H#12 St10 G11 Isb,25464553
PROP0091,Muhammad Ahmd,H#12 St10 G11 Isb,17868393
PROP0094,M Ahmed,Phase 8 Bahria RWP,12016431
PROP0095,علی خان,H#12 St10 G11 Isb,28514522
PROP0096,Ahmad Raza,H#45 DHA Lhr,5785846
PROP0098,Ahmad Raza,Street 10 G11 Islamabad,17041321
PROP0100,Ahmed Raza,H#45 DHA Lhr,8853079
PROP0103,Muhammad Ahmd,Phase 8 Bahria RWP,22275489
PROP0105,علی خان,H#45 DHA Lhr,23667773
PROP0106,علی خان,House 12 Street 10 G11 Islamabad,21977656
PROP0107,احمد رضا,Bahria Phase 8 Rawalpindi,19742995
PROP0110,Muhammad Ahmed,Phase 8 Bahria RWP,5102879
PROP0111,محمد احمد,Phase 8 Bahria RWP,18968542
PROP0115,Ali Khan,H#45 DHA Lhr,6895571
PROP0116,محمد احمد,Street 10 G11 Islamabad,29712692
PROP0117,Aly Khan,H#45 DHA Lhr,9003403
PROP0120,Muhammad Ahmd,Street 10 G11 Islamabad,8522245
PROP0121,علی خان,House 12 Street 10 G11 Islamabad,13501842
PROP0122,Ahmed Raza,Phase 8 Bahria RWP,5940265
PROP0128,Muhammad Ahmd,Street 10 G11 Islamabad,13257519
PROP0130,Ali Khan,H#45 DHA Lhr,14407392
PROP0131,Muhammad Ahmed,Phase 8 Bahria RWP,8563847
PROP0132,Ahmed Raza,H#45 DHA Lhr,15376622
PROP0134,احمد رضا,H#12 St10 G11 Isb,5108389
PROP0135,علی خان,Bahria Phase 8 Rawalpindi,20614608
PROP0136,احمد رضا,H#45 DHA Lhr,20099511
PROP0137,Aly Khan,Street 10 G11 Islamabad,29778024
PROP0138,محمد احمد,House 12 Street 10 G11 Islamabad,18518778
PROP0140,Ahmed Raza,House 12 Street 10 G11 Islamabad,10753169
PROP0141,Muhammad Ahmd,Bahria Phase 8 Rawalpindi,19288620
PROP0144,Muhammad Ahmed,House 12 Street 10 G11 Islamabad,8883185
PROP0145,علی خان,H#12 St10 G11 Isb,6344651
PROP0148,Aly Khan,Bahria Phase 8 Rawalpindi,18883809
PROP0150,Ahmed Raza,H#12 St10 G11 Isb,11209683
PROP0151,علی خان,House 12 Street 10 G11 Islamabad,11368124
PROP0154,Aly Khan,H#45 DHA Lhr,14233449
PROP0155,Ahmad Raza,House 12 Street 10 G11 Islamabad,13791302
PROP0157,M Ahmed,Street 10 G11 Islamabad,26779343
PROP0158,علی خان,Phase 8 Bahria RWP,13126687
PROP0159,احمد رضا,H#12 St10 G11 Isb,9014696
PROP0160,Ali Khan,H#12 St10 G11 Isb,11408621
PROP0163,M Ahmed,H#12 St10 G11 Isb,22217470
PROP0164,محمد احمد,House 12 Street 10 G11 Islamabad,24377015
PROP0165,Muhammad Ahmd,House 45 DHA Lahore,28912483
PROP0166,Aly Khan,H#12 St10 G11 Isb,29345008
PROP0167,M Ahmed,House 45 DHA Lahore,15433939
PROP0170,Aly Khan,House 45 DHA Lahore,12601199
PROP0171,محمد احمد,Street 10 G11 Islamabad,6288102
PROP0172,Muhammad Ahmd,House 45 DHA Lahore,9474451
PROP0178,Muhammad Ahmed,House 12 Street 10 G11 Islamabad,5842362
PROP0180,Ahmad Raza,H#12 St10 G11 Isb,13585473
PROP0182,M Ahmed,Phase 8 Bahria RWP,5657428
PROP0183,Muhammad Ahmed,H#45 DHA Lhr,23156503
PROP0184,Muhammad Ahmd,H#45 DHA Lhr,15054386
PROP0189,M Ahmed,House 12 Street 10 G11 Islamabad,24205654
PROP0190,محمد احمد,H#12 St10 G11 Isb,28458807
PROP0191,Ahmed Raza,House 45 DHA Lahore,19107694
PROP0192,Ahmad Raza,House 12 Street 10 G11 Islamabad,19979521
PROP0197,Muhammad Ahmed,House 45 DHA Lahore,25848892
PROP0199,M Ahmed,House 12 Street 10 G11 Islamabad,29205885
PROP0200,Ahmed Raza,H#12 St10 G11 Isb,7701625
PROP0202,Ali Khan,H#12 St10 G11 Isb,17103207
PROP0203,Ahmed Raza,Bahria Phase 8 Rawalpindi,26925178
PROP0205,احمد رضا,House 45 DHA Lahore,17457321
PROP0206,M Ahmed,Street 10 G11 Islamabad,8425223
PROP0208,علی خان,H#45 DHA Lhr,13486875
PROP0209,Muhammad Ahmed,House 12 Street 10 G11 Islamabad,18765408
PROP0211,احمد رضا,Bahria Phase 8 Rawalpindi,18129597
PROP0213,Aly Khan,Street 10 G11 Islamabad,7477350
PROP0214,M Ahmed,Bahria Phase 8 Rawalpindi,13386545
PROP0217,Ali Khan,House 12 Street 10 G11 Islamabad,10059143
PROP0218,محمد احمد,Street 10 G11 Islamabad,7514678
PROP0219,Aly Khan,H#12 St10 G11 Isb,21588840
PROP0220,M Ahmed,Street 10 G11 Islamabad,27544022
PROP0221,احمد رضا,Phase 8 Bahria RWP,27972120
PROP0224,احمد رضا,H#45 DHA Lhr,8854746
PROP0226,Muhammad Ahmd,H#45 DHA Lhr,9983145
PROP0229,Ahmad Raza,House 12 Street 10 G11 Islamabad,21707134
PROP0231,Muhammad Ahmd,Street 10 G11 Islamabad,12630229
PROP0235,Muhammad Ahmd,H#45 DHA Lhr,11128091
PROP0238,Ahmad Raza,H#45 DHA Lhr,28031716
PROP0239,Muhammad Ahmd,Bahria Phase 8 Rawalpindi,18695649
PROP0240,Aly Khan,House 45 DHA Lahore,19091173
PROP0241,Muhammad Ahmed,Street 10 G11 Islamabad,8841456
PROP0242,محمد احمد,House 12 Street 10 G11 Islamabad,11238290
PROP0245,Muhammad Ahmed,House 12 Street 10 G11 Islamabad,6394443
PROP0246,Muhammad Ahmed,H#12 St10 G11 Isb,11169662
PROP0248,M Ahmed,House 45 DHA Lahore,25797794
PROP0249,Ahmed Raza,Street 10 G11 Islamabad,8127698
PROP0251,Aly Khan,H#45 DHA Lhr,17354955
PROP0253,Muhammad Ahmd,House 45 DHA Lahore,17193183
PROP0256,احمد رضا,House 45 DHA Lahore,14364138
PROP0257,Ahmed Raza,Bahria Phase 8 Rawalpindi,5524766
PROP0258,Aly Khan,H#45 DHA Lhr,25262614
PROP0259,Ali Khan,H#12 St10 G11 Isb,25237897
PROP0260,احمد رضا,Street 10 G11 Islamabad,17992293
PROP0261,Ahmad Raza,H#45 DHA Lhr,19411546
PROP0265,Muhammad Ahmed,House 45 DHA Lahore,15335283
PROP0267,M Ahmed,Bahria Phase 8 Rawalpindi,8266306
PROP0268,Ahmad Raza,H#12 St10 G11 Isb,16186750
PROP0270,احمد رضا,H#12 St10 G11 Isb,7987590
PROP0271,احمد رضا,H#12 St10 G11 Isb,5752016
PROP0272,M Ahmed,Street 10 G11 Islamabad,24144578
PROP0273,Muhammad Ahmd,Street 10 G11 Islamabad,8514767
PROP0274,Aly Khan,Street 10 G11 Islamabad,19174081
PROP0277,محمد احمد,Bahria Phase 8 Rawalpindi,29003216
PROP0282,Ali Khan,House 45 DHA Lahore,27896696
PROP0283,Ahmad Raza,House 12 Street 10 G11 Islamabad,22708900
PROP0284,Ali Khan,House 12 Street 10 G11 Islamabad,18129232
PROP0285,Muhammad Ahmed,H#45 DHA Lhr,23729831
PROP0287,Muhammad Ahmd,Phase 8 Bahria RWP,6856380
PROP0288,M Ahmed,Phase 8 Bahria RWP,13569644
PROP0292,Aly Khan,Phase 8 Bahria RWP,13418430
PROP0293,محمد احمد,H#12 St10 G11 Isb,14595705
PROP0295,Muhammad Ahmd,H#12 St10 G11 Isb,11176672
PROP0296,Aly Khan,House 45 DHA Lahore,22380633
PROP0297,Aly Khan,House 45 DHA Lahore,20846380
PROP0300,Muhammad Ahmd,House 12 Street 10 G11 Islamabad,16808532
