citizen_id,name,address,declared_income,tax_paid,filer_status
CIT0001,محمد احمد,House 45 DHA Lahore,1435630,468439,Filer
CIT0002,Aly Khan,Street 10 G11 Islamabad,667172,319373,Filer
CIT0003,Ali Khan,H#45 DHA Lhr,2012071,15670,Filer
CIT0004,Muhammad Ahmd,House 12 Street 10 G11 Islamabad,2315268,375466,Filer
CIT0005,Ahmed Raza,Phase 8 Bahria RWP,1882873,407893,Filer
CIT0006,Aly Khan,Street 10 G11 Islamabad,906899,128008,Filer
CIT0007,M Ahmed,Street 10 G11 Islamabad,1177961,74568,Non-Filer
CIT0008,Aly Khan,House 12 Street 10 G11 Islamabad,2902136,23362,Non-Filer
CIT0009,علی خان,Street 10 G11 Islamabad,1548058,99381,Filer
CIT0010,Ahmed Raza,House 12 Street 10 G11 Islamabad,2715165,267537,Non-Filer
CIT0011,Muhammad Ahmed,H#45 DHA Lhr,285873,443291,Filer
CIT0012,Ahmad Raza,H#45 DHA Lhr,1783650,204836,Filer
CIT0013,علی خان,H#12 St10 G11 Isb,580839,307526,Non-Filer
CIT0014,Aly Khan,H#12 St10 G11 Isb,246282,243667,Filer
CIT0015,احمد رضا,H#45 DHA Lhr,2500178,475486,Filer
CIT0016,محمد احمد,Phase 8 Bahria RWP,1960083,314765,Non-Filer
CIT0017,Aly Khan,House 45 DHA Lahore,2027818,22078,Filer
CIT0018,Muhammad Ahmd,H#12 St10 G11 Isb,1460683,202001,Filer
CIT0019,Muhammad Ahmed,Bahria Phase 8 Rawalpindi,1092587,415798,Non-Filer
CIT0020,Ali Khan,Phase 8 Bahria RWP,1191598,277649,Non-Filer
CIT0021,احمد رضا,Street 10 G11 Islamabad,2409843,448159,Non-Filer
CIT0022,Ali Khan,H#45 DHA Lhr,2288054,237458,Non-Filer
CIT0023,Ahmed Raza,H#45 DHA Lhr,844481,303864,Filer
CIT0024,Ahmed Raza,Street 10 G11 Islamabad,1053333,311359,Filer
CIT0025,Ahmad Raza,Street 10 G11 Islamabad,2512822,365512,Non-Filer
CIT0026,M Ahmed,Bahria Phase 8 Rawalpindi,2972344,219063,Filer
CIT0027,Aly Khan,Phase 8 Bahria RWP,1107718,90343,Non-Filer
CIT0028,Ahmed Raza,House 12 Street 10 G11 Islamabad,1272681,43523,Non-Filer
CIT0029,Ali Khan,Street 10 G11 Islamabad,304206,489804,Filer
CIT0030,Muhammad Ahmed,House 12 Street 10 G11 Islamabad,2654524,267604,Filer
CIT0031,M Ahmed,H#12 St10 G11 Isb,2657019,133579,Non-Filer
CIT0032,Muhammad Ahmd,Phase 8 Bahria RWP,2272491,316059,Non-Filer
CIT0033,Muhammad Ahmed,Phase 8 Bahria RWP,2078245,484998,Non-Filer
CIT0034,احمد رضا,Street 10 G11 Islamabad,1499836,346367,Non-Filer
CIT0035,علی خان,H#45 DHA Lhr,1441746,102355,Non-Filer
CIT0036,Muhammad Ahmed,Bahria Phase 8 Rawalpindi,703617,132611,Non-Filer
