meter_id,consumer_name,address,monthly_bill
MTR0002,Aly Khan,Street 10 G11 Islamabad,76165
MTR0003,Ali Khan,H#45 DHA Lhr,81589
MTR0004,Muhammad Ahmd,House 12 Street 10 G11 Islamabad,136665
MTR0005,Ahmed Raza,Phase 8 Bahria RWP,16081
MTR0007,M Ahmed,Street 10 G11 Islamabad,141903
MTR0008,Aly Khan,House 12 Street 10 G11 Islamabad,143912
MTR0009,علی خان,Street 10 G11 Islamabad,97367
MTR0010,Ahmed Raza,House 12 Street 10 G11 Islamabad,112250
MTR0012,Ahmad Raza,H#45 DHA Lhr,105576
MTR0013,علی خان,H#12 St10 G11 Isb,145554
MTR0014,Aly Khan,H#12 St10 G11 Isb,62471
MTR0015,احمد رضا,H#45 DHA Lhr,67014
MTR0016,محمد احمد,Phase 8 Bahria RWP,23887
MTR0017,Aly Khan,House 45 DHA Lahore,119539
MTR0018,Muhammad Ahmd,H#12 St10 G11 Isb,92771
MTR0019,Muhammad Ahmed,Bahria Phase 8 Rawalpindi,76408
MTR0020,Ali Khan,Phase 8 Bahria RWP,87426
MTR0021,احمد رضا,Street 10 G11 Islamabad,36141
MTR0022,Ali Khan,H#45 DHA Lhr,143747
MTR0023,Ahmed Raza,H#45 DHA Lhr,134784
MTR0024,Ahmed Raza,Street 10 G11 Islamabad,115578
MTR0025,Ahmad Raza,Street 10 G11 Islamabad,69549
MTR0027,Aly Khan,Phase 8 Bahria RWP,124184
MTR0029,Ali Khan,Street 10 G11 Islamabad,144257
MTR0030,Muhammad Ahmed,House 12 Street 10 G11 Islamabad,42997
MTR0032,Muhammad Ahmd,Phase 8 Bahria RWP,56118
MTR0033,Muhammad Ahmed,Phase 8 Bahria RWP,142730
MTR0034,احمد رضا,Street 10 G11 Islamabad,64178
MTR0035,علی خان,H#45 DHA Lhr,128862
MTR0036,Muhammad Ahmed,Bahria Phase 8 Rawalpindi,78395
MTR0037,علی خان,House 45 DHA Lahore,117453
MTR0038,احمد رضا,H#45 DHA Lhr,27817
MTR0041,احمد رضا,House 12 Street 10 G11 Islamabad,140523
